user_id,order_id,item_id,purchase_date,return_date,return_reason,refund_amount,payment_method,receipt_id
USER00000000,ORD00000000,PROD00000000,2023-08-05,2024-08-26,Changed mind,1234.77,Debit Card,ORD00000000-PROD00000000
USER00000001,ORD00000001,PROD00000001,2023-10-09,2023-11-09,Wrong item,866.64,Credit Card,ORD00000001-PROD00000001
USER00000002,ORD00000002,PROD00000002,2023-05-06,,Not Returned,0.0,Debit Card,ORD00000002-PROD00000002
USER00000003,ORD00000003,PROD00000003,2024-08-29,,Not Returned,0.0,PayPal,ORD00000003-PROD00000003
USER00000004,ORD00000004,PROD00000004,2023-01-16,,Not Returned,0.0,Gift Card,ORD00000004-PROD00000004
USER00000005,ORD00000005,PROD00000005,2024-02-14,2024-09-22,Defective,252.12,Debit Card,ORD00000005-PROD00000005
USER00000006,ORD00000006,PROD00000006,2023-05-29,2023-08-03,Wrong item,765.78,Credit Card,ORD00000006-PROD00000006
USER00000007,ORD00000007,PROD00000007,2023-02-09,2024-08-01,Not as described,919.17,Credit Card,ORD00000007-PROD00000007
USER00000008,ORD00000008,PROD00000008,2024-12-25,2024-09-25,Defective,1512.0,Debit Card,ORD00000008-PROD00000008
USER00000009,ORD00000009,PROD00000009,2023-03-10,2024-01-21,Not as described,884.8199999999999,Credit Card,ORD00000009-PROD00000009
USER00000010,ORD00000010,PROD00000010,2024-05-26,,Not Returned,0.0,Credit Card,ORD00000010-PROD00000010
USER00000011,ORD00000011,PROD00000011,2024-02-08,,Not Returned,0.0,Gift Card,ORD00000011-PROD00000011
USER00000012,ORD00000012,PROD00000012,2024-06-07,,Not Returned,0.0,PayPal,ORD00000012-PROD00000012
USER00000013,ORD00000013,PROD00000013,2023-07-22,,Not Returned,0.0,PayPal,ORD00000013-PROD00000013
USER00000014,ORD00000014,PROD00000014,2024-09-01,,Not Returned,0.0,PayPal,ORD00000014-PROD00000014
USER00000015,ORD00000015,PROD00000015,2024-10-02,2023-12-04,Wrong item,740.16,Credit Card,ORD00000015-PROD00000015
USER00000016,ORD00000016,PROD00000016,2024-05-09,,Not Returned,0.0,PayPal,ORD00000016-PROD00000016
USER00000017,ORD00000017,PROD00000017,2023-02-03,2023-06-03,Defective,400.12,PayPal,ORD00000017-PROD00000017
USER00000018,ORD00000018,PROD00000018,2024-10-07,2023-03-18,Changed mind,358.31,PayPal,ORD00000018-PROD00000018
USER00000019,ORD00000019,PROD00000019,2024-07-06,2024-05-01,Changed mind,1139.7,Debit Card,ORD00000019-PROD00000019
USER00000020,ORD00000020,PROD00000020,2023-07-03,,Not Returned,0.0,Credit Card,ORD00000020-PROD00000020
USER00000021,ORD00000021,PROD00000021,2024-02-28,2023-01-06,Changed mind,171.38,Debit Card,ORD00000021-PROD00000021
USER00000022,ORD00000022,PROD00000022,2024-07-13,2023-09-13,Wrong item,1136.0,Gift Card,ORD00000022-PROD00000022
USER00000023,ORD00000023,PROD00000023,2024-07-01,2024-01-24,Wrong item,114.28,Gift Card,ORD00000023-PROD00000023
USER00000024,ORD00000024,PROD00000024,2024-07-27,,Not Returned,0.0,Gift Card,ORD00000024-PROD00000024
USER00000025,ORD00000025,PROD00000025,2024-11-22,,Not Returned,0.0,Gift Card,ORD00000025-PROD00000025
USER00000026,ORD00000026,PROD00000026,2023-03-05,,Not Returned,0.0,Debit Card,ORD00000026-PROD00000026
USER00000027,ORD00000027,PROD00000027,2024-05-26,,Not Returned,0.0,PayPal,ORD00000027-PROD00000027
USER00000028,ORD00000028,PROD00000028,2024-05-15,2024-09-05,Defective,533.0,Credit Card,ORD00000028-PROD00000028
USER00000029,ORD00000029,PROD00000029,2024-04-06,,Not Returned,0.0,Gift Card,ORD00000029-PROD00000029
USER00000030,ORD00000030,PROD00000030,2023-05-02,,Not Returned,0.0,Credit Card,ORD00000030-PROD00000030
USER00000031,ORD00000031,PROD00000031,2023-12-09,,Not Returned,0.0,Credit Card,ORD00000031-PROD00000031
USER00000032,ORD00000032,PROD00000032,2024-06-30,,Not Returned,0.0,Debit Card,ORD00000032-PROD00000032
USER00000033,ORD00000033,PROD00000033,2024-02-03,2023-08-18,Wrong item,1341.12,Debit Card,ORD00000033-PROD00000033
USER00000034,ORD00000034,PROD00000034,2023-09-07,,Not Returned,0.0,PayPal,ORD00000034-PROD00000034
USER00000035,ORD00000035,PROD00000035,2024-07-23,,Not Returned,0.0,PayPal,ORD00000035-PROD00000035
USER00000036,ORD00000036,PROD00000036,2024-01-07,2023-08-29,Defective,579.0999999999999,Credit Card,ORD00000036-PROD00000036
USER00000037,ORD00000037,PROD00000037,2023-02-11,2024-05-10,Wrong item,246.15,Gift Card,ORD00000037-PROD00000037
USER00000038,ORD00000038,PROD00000038,2023-02-17,,Not Returned,0.0,Credit Card,ORD00000038-PROD00000038
USER00000039,ORD00000039,PROD00000039,2024-10-27,2024-10-19,Wrong item,1065.36,PayPal,ORD00000039-PROD00000039
USER00000040,ORD00000040,PROD00000040,2023-03-21,,Not Returned,0.0,PayPal,ORD00000040-PROD00000040
USER00000041,ORD00000041,PROD00000041,2024-01-03,2023-01-15,Changed mind,1337.08,PayPal,ORD00000041-PROD00000041
USER00000042,ORD00000042,PROD00000042,2024-02-10,,Not Returned,0.0,Gift Card,ORD00000042-PROD00000042
USER00000043,ORD00000043,PROD00000043,2024-05-23,2024-06-05,Wrong item,317.1,Credit Card,ORD00000043-PROD00000043
USER00000044,ORD00000044,PROD00000044,2024-10-10,,Not Returned,0.0,Gift Card,ORD00000044-PROD00000044
USER00000045,ORD00000045,PROD00000045,2023-11-15,2023-02-05,Changed mind,588.36,Gift Card,ORD00000045-PROD00000045
USER00000046,ORD00000046,PROD00000046,2023-05-22,2024-03-09,Changed mind,194.62,Debit Card,ORD00000046-PROD00000046
USER00000047,ORD00000047,PROD00000047,2024-10-23,2024-03-22,Wrong item,671.92,Credit Card,ORD00000047-PROD00000047
USER00000048,ORD00000048,PROD00000048,2024-04-19,2023-11-16,Not as described,1377.24,Credit Card,ORD00000048-PROD00000048
USER00000049,ORD00000049,PROD00000049,2024-03-14,,Not Returned,0.0,Credit Card,ORD00000049-PROD00000049
USER00000050,ORD00000050,PROD00000050,2023-06-14,2024-07-21,Defective,23.6,Credit Card,ORD00000050-PROD00000050
USER00000051,ORD00000051,PROD00000051,2024-03-27,,Not Returned,0.0,Debit Card,ORD00000051-PROD00000051
USER00000052,ORD00000052,PROD00000052,2024-02-22,,Not Returned,0.0,Credit Card,ORD00000052-PROD00000052
USER00000053,ORD00000053,PROD00000053,2024-03-12,2023-05-21,Defective,1079.6999999999998,Debit Card,ORD00000053-PROD00000053
USER00000054,ORD00000054,PROD00000054,2023-02-12,,Not Returned,0.0,Debit Card,ORD00000054-PROD00000054
